DATE,BOGZ1FL075035503Q_CCH
2002-10-01,4.10273
2003-01-01,3.67778
2003-04-01,-1.23075
2003-07-01,-2.68936
2003-10-01,1.44262
2004-01-01,6.06771
2004-04-01,4.85835
2004-07-01,6.27472
2004-10-01,-0.09293
2005-01-01,3.47972
2005-04-01,1.67803
2005-07-01,4.40556
2005-10-01,3.29666
2006-01-01,2.90176
2006-04-01,4.24803
2006-07-01,2.42567
2006-10-01,1.96380
2007-01-01,3.05309
2007-04-01,4.02613
2007-07-01,2.12191
2007-10-01,-0.83221
2008-01-01,-8.28607
2008-04-01,1.70740
2008-07-01,-2.35236
2008-10-01,-3.06772
2009-01-01,-6.38967
2009-04-01,-19.62129
2009-07-01,-2.85847
2009-10-01,-7.24046
2010-01-01,3.29996
2010-04-01,7.41721
2010-07-01,-0.95971
2010-10-01,1.33104
2011-01-01,3.64440
2011-04-01,-2.18532
2011-07-01,-1.33310
2011-10-01,5.76934
2012-01-01,0.07446
2012-04-01,-0.31573
2012-07-01,1.76314
2012-10-01,1.32195
2013-01-01,1.24426
2013-04-01,5.66188
2013-07-01,5.66308
2013-10-01,-0.37815
2014-01-01,-1.53042
2014-04-01,4.51497
2014-07-01,2.06775
2014-10-01,3.17259
2015-01-01,4.35469
2015-04-01,2.21579
2015-07-01,-0.01341
2015-10-01,-1.04726
2016-01-01,-2.02443
2016-04-01,3.75346
2016-07-01,3.47778
2016-10-01,0.04795
2017-01-01,-1.89517
2017-04-01,7.68663
2017-07-01,-1.78195
2017-10-01,1.51347
2018-01-01,0.84317
2018-04-01,0.54486
2018-07-01,0.16317
2018-10-01,-1.08283
2019-01-01,4.31403
2019-04-01,4.20776
2019-07-01,-0.68764
2019-10-01,-1.05396
2020-01-01,1.55131
2020-04-01,-2.07541
2020-07-01,2.07879
2020-10-01,3.13495
2021-01-01,1.51332
2021-04-01,2.63266
2021-07-01,7.23566
2021-10-01,3.80321
2022-01-01,-2.41501
2022-04-01,-0.40496
2022-07-01,1.77898
2022-10-01,-0.34523
2023-01-01,-0.84892
2023-04-01,1.33754
